admissible_recovery,constraint_envelope_pass,controller,floor_contact_load_N,floor_contact_load_bodyweights,floor_penetration_m,integration_floor_contact_load_N,joint_excess_duration_s,joint_excess_max_rad,max_continuous_hold_s,max_velocity_rad_s,pair,recovery_sim_s,reporting_only_error_repaired,seed,self_penetration_m,stable_margins,standing_sway,status,success,termination_reason,torque_ratio,truncation_reason,worst_joint
False,False,A_reference,2258.9033817358704,5.4868890316612955,0.02204942932107415,2259.5755660497744,1.064,0.05824473461228252,0.3770000000001259,20.51270447075557,16,5.012000000000636,False,26092415,0.003129061950570401,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2248.3698405538157,5.461303000827186,0.023212543408315432,2249.4950867139833,1.065,0.0581930082696529,0.5140000000001717,20.422984407578948,16,5.274000000000724,False,26092415,0.003129061950570401,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,8683.039012014127,21.09115064491866,0.026102882037250738,8717.575491423913,1.053,0.04179514943946305,1.3540000000004522,8.114800007997,17,20.00000000000356,False,26092416,0.0034911288843020682,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,B_residual,8090.728022459152,19.652423916631506,0.02409357969080038,8109.094547183416,1.053,0.04179514943946305,1.0970000000003663,8.114800007997,17,20.00000000000356,False,26092416,0.0034911288843020682,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,A_reference,8255.19589756317,20.051917311198654,0.023626855364528326,8286.769922880092,1.049,0.04000627588471328,0.0,8.287364916961648,18,20.000000000003617,False,26092417,0.0032132315563622046,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,B_residual,8095.562107946617,19.66416593749603,0.02437830646651639,8120.719351534449,1.049,0.04000627588471328,0.0,8.287364916961648,18,20.000000000003617,False,26092417,0.0032132315563622046,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,A_reference,8255.393120663286,20.052396367219185,0.023613765233876843,8285.399002697597,1.052,0.04146538383294052,0.0,8.197131214188781,19,20.000000000003567,False,26092418,0.0030490497628306466,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,B_residual,8148.334801634656,19.792351107569843,0.02566702567990905,8176.587368291949,1.052,0.04146538383294052,0.0,8.197131214188781,19,20.000000000003567,False,26092418,0.0030490497628306466,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,A_reference,8646.651957724986,21.00276628519446,0.026192693922984407,8678.700066865897,1.05,0.040404758419271825,0.0,8.413746065473111,20,20.00000000000356,False,26092419,0.003335742773067803,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,B_residual,8056.871982267092,19.5701874043985,0.02446677618890092,8088.5934545498185,1.05,0.040404758419271825,0.0,8.413746065473111,20,20.00000000000356,False,26092419,0.003335742773067803,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
