event_labels,post_elapsed_s,pre_elapsed_s,joint,reference_phase,q_lower_rad,q_upper_rad,pre_q_rad,post_q_rad,pre_dq_rad_s,post_dq_rad_s,excess_rad,reference_at_control_endpoint_rad,requested_target_rad,adopted_native_target_rad,raw_pd_Nm,clipped_control_Nm,integration_joint_torque_Nm,integration_actuator_force_Nm,left_foot_weight,right_foot_weight,other_contact_norm_weight,integration_ground_vertical_N,postforward_ground_vertical_N,pelvis_height_m,torso_tilt_deg,com_speed_m_s,torso_angular_rad_s,floor_penetration_m,residual_gate
landing:None:offset=0,2.146999999999764,2.1459999999997637,waist_pitch_joint,fixed-start-quintic-11,-0.314,0.314,0.11110183875759551,0.11081761982640134,-0.2898471178835264,-0.2842189311941701,0.0,0.14126747189077668,0.14126747189077732,0.14126746809482574,12.32893460217416,12.32893460217416,12.32893460217416,12.32893460217416,0.7238604277325078,0.0,0.0,0.0,298.0068958337687,0.6005239500115228,20.329555953729777,0.9037860872071843,2.008776727142309,4.963229483014985e-05,0.0
long_airborne_last_sample:None:offset=0.02,2.1659999999997614,2.164999999999762,left_ankle_pitch_joint,fixed-start-quintic-12,-0.803,0.453,-0.6924335831700453,-0.6977999844543129,-5.25411717551293,-5.366401284267585,0.0,-0.6154685350386829,-0.6154685350386823,-0.6154685207009316,82.53306888399656,36.0,36.0,36.0,1.0802665265313445,0.0,0.0,409.1732046123492,444.73611474130325,0.5864896247018302,19.743870064496924,0.8699693658010059,2.250344752383429,0.006144617727321565,0.0
long_airborne_last_sample:None:offset=0.02,2.1659999999997614,2.164999999999762,left_ankle_roll_joint,fixed-start-quintic-12,-0.262,0.262,-0.14408397822755453,-0.14490453014895213,-0.8428133241920428,-0.8205519213976087,0.0,-0.12920562129898983,-0.12920562129898971,-0.12920561903715133,13.998852026090074,13.998852026090074,13.998852026090074,13.998852026090074,1.0802665265313445,0.0,0.0,409.1732046123492,444.73611474130325,0.5864896247018302,19.743870064496924,0.8699693658010059,2.250344752383429,0.006144617727321565,0.0
long_airborne_last_sample:None:offset=0.02,2.1659999999997614,2.164999999999762,right_ankle_pitch_joint,fixed-start-quintic-12,-0.803,0.453,-0.492222639501024,-0.49060670626472364,1.606599773595117,1.615933236300373,0.0,-0.4301588952787473,-0.4301588952787436,-0.43015889465808865,0.4425219398905398,0.4425219398905398,0.4425219398905398,0.4425219398905398,1.0802665265313445,0.0,0.0,409.1732046123492,444.73611474130325,0.5864896247018302,19.743870064496924,0.8699693658010059,2.250344752383429,0.006144617727321565,0.0
long_airborne_last_sample:None:offset=0.02,2.1659999999997614,2.164999999999762,right_ankle_roll_joint,fixed-start-quintic-12,-0.2625,0.2625,0.01992155190617899,0.019267389338199683,-0.6597453988133641,-0.6541625679793055,0.0,-0.00028313327138854464,-0.0002831332713898627,-0.00028313328075455505,1.4027615696407851,1.4027615696407851,1.4027615696407851,1.4027615696407851,1.0802665265313445,0.0,0.0,409.1732046123492,444.73611474130325,0.5864896247018302,19.743870064496924,0.8699693658010059,2.250344752383429,0.006144617727321565,0.0
long_airborne_last_sample:None:offset=0.02,2.1659999999997614,2.164999999999762,waist_pitch_joint,fixed-start-quintic-12,-0.314,0.314,0.10974523486330064,0.10975591017088442,0.024568526700910257,0.010675307583774015,0.0,0.1477061563116428,0.1477061563116435,0.1477061538696289,11.110314552554858,11.110314552554858,11.110314552554858,11.110314552554858,1.0802665265313445,0.0,0.0,409.1732046123492,444.73611474130325,0.5864896247018302,19.743870064496924,0.8699693658010059,2.250344752383429,0.006144617727321565,0.0
landing:None:offset=0.02,2.166999999999762,2.1659999999997614,left_ankle_pitch_joint,fixed-start-quintic-12,-0.803,0.453,-0.6977999844543129,-0.7031963620558319,-5.366401284267585,-5.396377601518978,0.0,-0.6154685350386829,-0.6154685350386823,-0.6154685207009316,85.4133389447953,36.0,36.0,36.0,1.0641884929161687,0.0,0.0,443.0586805414781,438.1169313943445,0.5857738906622504,19.72152193405825,0.8679673847038417,2.2572352843017183,0.006156974838914027,0.0
landing:None:offset=0.02,2.166999999999762,2.1659999999997614,left_ankle_roll_joint,fixed-start-quintic-12,-0.262,0.262,-0.14490453014895213,-0.14580950262679895,-0.8205519213976087,-0.9049724778468283,0.0,-0.12920562129898983,-0.12920562129898971,-0.12920561903715133,13.993158580514642,13.993158580514642,13.993158580514642,13.993158580514642,1.0641884929161687,0.0,0.0,443.0586805414781,438.1169313943445,0.5857738906622504,19.72152193405825,0.8679673847038417,2.2572352843017183,0.006156974838914027,0.0
landing:None:offset=0.02,2.166999999999762,2.1659999999997614,right_ankle_pitch_joint,fixed-start-quintic-12,-0.803,0.453,-0.49060670626472364,-0.4889974661556723,1.615933236300373,1.609240109051352,0.0,-0.4301588952787473,-0.4301588952787436,-0.43015889465808865,-0.14785410733298576,-0.14785410733298576,-0.14785410733298576,-0.14785410733298576,1.0641884929161687,0.0,0.0,443.0586805414781,438.1169313943445,0.5857738906622504,19.72152193405825,0.8679673847038417,2.2572352843017183,0.006156974838914027,0.0
landing:None:offset=0.02,2.166999999999762,2.1659999999997614,right_ankle_roll_joint,fixed-start-quintic-12,-0.2625,0.2625,0.019267389338199683,0.018624281299729782,-0.6541625679793055,-0.6431080384699015,0.0,-0.00028313327138854464,-0.0002831332713898627,-0.00028313328075455505,1.535847819378894,1.535847819378894,1.535847819378894,1.535847819378894,1.0641884929161687,0.0,0.0,443.0586805414781,438.1169313943445,0.5857738906622504,19.72152193405825,0.8679673847038417,2.2572352843017183,0.006156974838914027,0.0
